id,name,price,description,imageURL
1,The Catcher in the Rye,623.53,A gripping tale of mystery and suspense,https://www.example.com/image999.jpg
2,The Great Gatsby,271.01,A poignant coming-of-age novel,https://www.example.com/image495.jpg
3,The Catcher in the Rye,739.13,A thrilling sci-fi journey through space,https://www.example.com/image493.jpg
4,The Great Gatsby,176.24,A chilling psychological thriller,https://www.example.com/image512.jpg
5,1984,735.86,A chilling psychological thriller,https://www.example.com/image552.jpg
6,The Great Gatsby,894.92,A chilling psychological thriller,https://www.example.com/image075.jpg
7,Pride and Prejudice,389.51,A poignant coming-of-age novel,https://www.example.com/image574.jpg
8,To Kill a Mockingbird,203.64,A gripping tale of mystery and suspense,https://www.example.com/image559.jpg
9,To Kill a Mockingbird,422.92,A heartwarming story of love and friendship,https://www.example.com/image944.jpg
10,Pride and Prejudice,714.02,A poignant coming-of-age novel,https://www.example.com/image360.jpg
11,The Catcher in the Rye,746.56,An epic fantasy adventure,https://www.example.com/image148.jpg
12,To Kill a Mockingbird,974.81,A heartwarming story of love and friendship,https://www.example.com/image509.jpg
13,1984,836.45,An epic fantasy adventure,https://www.example.com/image674.jpg
14,The Great Gatsby,897.76,A heartwarming story of love and friendship,https://www.example.com/image944.jpg
15,1984,210.33,A gripping tale of mystery and suspense,https://www.example.com/image158.jpg
16,The Great Gatsby,845.52,An epic fantasy adventure,https://www.example.com/image265.jpg
17,The Catcher in the Rye,559.71,A gripping tale of mystery and suspense,https://www.example.com/image855.jpg
18,1984,826.62,An epic fantasy adventure,https://www.example.com/image633.jpg
19,The Great Gatsby,288.94,A heartwarming story of love and friendship,https://www.example.com/image932.jpg
20,The Great Gatsby,378.6,A gripping tale of mystery and suspense,https://www.example.com/image109.jpg
21,Pride and Prejudice,660.02,A thrilling sci-fi journey through space,https://www.example.com/image736.jpg
22,The Great Gatsby,799.34,A gripping tale of mystery and suspense,https://www.example.com/image927.jpg
23,Pride and Prejudice,627.29,A chilling psychological thriller,https://www.example.com/image279.jpg
24,The Great Gatsby,444.16,A poignant coming-of-age novel,https://www.example.com/image572.jpg
25,The Great Gatsby,629.87,An epic fantasy adventure,https://www.example.com/image287.jpg
26,The Great Gatsby,845.88,A chilling psychological thriller,https://www.example.com/image783.jpg
27,The Great Gatsby,156.15,A gripping tale of mystery and suspense,https://www.example.com/image920.jpg
28,Pride and Prejudice,964.81,A poignant coming-of-age novel,https://www.example.com/image255.jpg
29,1984,265.06,A heartwarming story of love and friendship,https://www.example.com/image275.jpg
30,The Great Gatsby,236.44,A chilling psychological thriller,https://www.example.com/image192.jpg
31,To Kill a Mockingbird,201.8,A chilling psychological thriller,https://www.example.com/image078.jpg
32,The Great Gatsby,371.87,A gripping tale of mystery and suspense,https://www.example.com/image727.jpg
33,The Catcher in the Rye,85.79,A heartwarming story of love and friendship,https://www.example.com/image709.jpg
34,Pride and Prejudice,12.02,A chilling psychological thriller,https://www.example.com/image672.jpg
35,To Kill a Mockingbird,524.28,An epic fantasy adventure,https://www.example.com/image839.jpg
36,The Catcher in the Rye,72.71,A heartwarming story of love and friendship,https://www.example.com/image214.jpg
37,The Great Gatsby,264.02,A thrilling sci-fi journey through space,https://www.example.com/image420.jpg
38,The Great Gatsby,217.58,An epic fantasy adventure,https://www.example.com/image969.jpg
39,Pride and Prejudice,238.65,A gripping tale of mystery and suspense,https://www.example.com/image812.jpg
40,Pride and Prejudice,806.08,A poignant coming-of-age novel,https://www.example.com/image540.jpg
41,The Great Gatsby,866.3,A poignant coming-of-age novel,https://www.example.com/image172.jpg
42,The Catcher in the Rye,573.02,A heartwarming story of love and friendship,https://www.example.com/image435.jpg
43,To Kill a Mockingbird,16.7,An epic fantasy adventure,https://www.example.com/image857.jpg
44,1984,291.76,A heartwarming story of love and friendship,https://www.example.com/image403.jpg
45,To Kill a Mockingbird,483.38,An epic fantasy adventure,https://www.example.com/image320.jpg
46,The Great Gatsby,11.92,An epic fantasy adventure,https://www.example.com/image171.jpg
47,Pride and Prejudice,315.49,A heartwarming story of love and friendship,https://www.example.com/image438.jpg
48,To Kill a Mockingbird,976.48,An epic fantasy adventure,https://www.example.com/image105.jpg
49,The Catcher in the Rye,89.45,A chilling psychological thriller,https://www.example.com/image464.jpg
50,The Great Gatsby,368.6,A poignant coming-of-age novel,https://www.example.com/image414.jpg
51,To Kill a Mockingbird,211.09,An epic fantasy adventure,https://www.example.com/image671.jpg
52,The Catcher in the Rye,730.54,A poignant coming-of-age novel,https://www.example.com/image756.jpg
53,1984,173.98,An epic fantasy adventure,https://www.example.com/image614.jpg
54,The Catcher in the Rye,896.34,A chilling psychological thriller,https://www.example.com/image801.jpg
55,To Kill a Mockingbird,264.3,A gripping tale of mystery and suspense,https://www.example.com/image008.jpg
56,To Kill a Mockingbird,247.35,A gripping tale of mystery and suspense,https://www.example.com/image057.jpg
57,To Kill a Mockingbird,779.19,A chilling psychological thriller,https://www.example.com/image744.jpg
58,The Catcher in the Rye,880.05,A heartwarming story of love and friendship,https://www.example.com/image114.jpg
59,To Kill a Mockingbird,241.95,A thrilling sci-fi journey through space,https://www.example.com/image699.jpg
60,To Kill a Mockingbird,129.25,A chilling psychological thriller,https://www.example.com/image534.jpg
61,The Catcher in the Rye,812.22,A heartwarming story of love and friendship,https://www.example.com/image513.jpg
62,To Kill a Mockingbird,580.15,A chilling psychological thriller,https://www.example.com/image653.jpg
63,The Great Gatsby,478.21,A poignant coming-of-age novel,https://www.example.com/image305.jpg
64,Pride and Prejudice,958.82,A poignant coming-of-age novel,https://www.example.com/image976.jpg
65,1984,583.1,A chilling psychological thriller,https://www.example.com/image223.jpg
66,To Kill a Mockingbird,470.35,A poignant coming-of-age novel,https://www.example.com/image293.jpg
67,Pride and Prejudice,719.09,An epic fantasy adventure,https://www.example.com/image059.jpg
68,Pride and Prejudice,356.94,An epic fantasy adventure,https://www.example.com/image715.jpg
69,Pride and Prejudice,324.35,An epic fantasy adventure,https://www.example.com/image252.jpg
70,Pride and Prejudice,246.72,A chilling psychological thriller,https://www.example.com/image891.jpg
71,The Great Gatsby,254.09,A thrilling sci-fi journey through space,https://www.example.com/image712.jpg
72,To Kill a Mockingbird,515.03,A chilling psychological thriller,https://www.example.com/image756.jpg
73,Pride and Prejudice,129.82,A thrilling sci-fi journey through space,https://www.example.com/image832.jpg
74,To Kill a Mockingbird,117.91,An epic fantasy adventure,https://www.example.com/image112.jpg
75,The Catcher in the Rye,510.95,An epic fantasy adventure,https://www.example.com/image073.jpg
76,To Kill a Mockingbird,263.6,An epic fantasy adventure,https://www.example.com/image821.jpg
77,The Great Gatsby,963.44,A poignant coming-of-age novel,https://www.example.com/image562.jpg
78,The Catcher in the Rye,763.81,A thrilling sci-fi journey through space,https://www.example.com/image102.jpg
79,1984,348.5,A heartwarming story of love and friendship,https://www.example.com/image693.jpg
80,The Great Gatsby,650.68,A chilling psychological thriller,https://www.example.com/image547.jpg
81,To Kill a Mockingbird,609.67,A heartwarming story of love and friendship,https://www.example.com/image172.jpg
82,To Kill a Mockingbird,671.46,A poignant coming-of-age novel,https://www.example.com/image239.jpg
83,To Kill a Mockingbird,46.08,An epic fantasy adventure,https://www.example.com/image772.jpg
84,The Great Gatsby,726.32,A poignant coming-of-age novel,https://www.example.com/image327.jpg
85,The Catcher in the Rye,595.02,A poignant coming-of-age novel,https://www.example.com/image312.jpg
86,Pride and Prejudice,734.56,A poignant coming-of-age novel,https://www.example.com/image406.jpg
87,The Great Gatsby,944.62,A chilling psychological thriller,https://www.example.com/image620.jpg
88,Pride and Prejudice,960.67,A poignant coming-of-age novel,https://www.example.com/image074.jpg
89,Pride and Prejudice,921.22,A heartwarming story of love and friendship,https://www.example.com/image674.jpg
90,1984,928.85,An epic fantasy adventure,https://www.example.com/image768.jpg
91,1984,90.74,A poignant coming-of-age novel,https://www.example.com/image095.jpg
92,The Great Gatsby,740.02,A heartwarming story of love and friendship,https://www.example.com/image618.jpg
93,Pride and Prejudice,171.81,A heartwarming story of love and friendship,https://www.example.com/image774.jpg
94,Pride and Prejudice,961.55,A thrilling sci-fi journey through space,https://www.example.com/image821.jpg
95,To Kill a Mockingbird,894.26,An epic fantasy adventure,https://www.example.com/image186.jpg
96,Pride and Prejudice,441.73,An epic fantasy adventure,https://www.example.com/image408.jpg
97,1984,763.83,A chilling psychological thriller,https://www.example.com/image977.jpg
98,Pride and Prejudice,750.51,A heartwarming story of love and friendship,https://www.example.com/image572.jpg
99,To Kill a Mockingbird,679.03,A chilling psychological thriller,https://www.example.com/image755.jpg
100,The Great Gatsby,731.43,A gripping tale of mystery and suspense,https://www.example.com/image966.jpg
